geo,text,user,location,entities,sentiment,country
," BREAKING: Democrats proposed 14 days of paid sick leave for workers affected by the #coronavirus, but the Republicans in…",champagneaylin,,"[('Democrats', 'NORP'), ('14 days', 'DATE'), '', ('Republicans', 'NORP')]","{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.3716}",
, “If we close down all sporting events and we have them played behind closed doors… people are going to go to pubs and all…,YorkLawLondon,UK,[],"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}",United Kingdom
, I pity the poor people who get colds right around now. Not #Coronavirus. Just an old-fashioned cold. They are probably fr…,BeesonMargaret,,[''],"{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6486}",
, We’re the heck we’re you the last 6 weeks! AI should have given us a plan #coronavirus,harrytiffanyiv,"Fort Washington, PA","[('the last 6 weeks', 'DATE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
," I don't think she intended to, but Joy asks a very good question here.Yes, , why are you seeking $1B in…",grammyheath,,"[('Joy', 'PERSON'), ('1B', 'MONEY')]","{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.8883}",
," Well written, sourced and data-backed article about the impact and mitigation of COVID-19.Hoping we can all stay safe,…",barbara_ellena,"Christchurch City, New Zealand",[],"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",New Zealand
, 1/2 CDC Director Robert Redfield admitted some Americans who seemingly died from influenza were tested positive for novel #coro…,fatal,USA,"[('1/2', 'CARDINAL'), ('CDC', 'ORG'), ('Robert Redfield', 'PERSON'), ('Americans', 'NORP')]","{'neg': 0.139, 'neu': 0.579, 'pos': 0.282, 'compound': 0.4019}",United States
," In all seriousness, if you’re stockpiling items you’re hurting people...•Those impacted by #coronavirus can’t get supplie…",pwjkmiller,,[''],"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.4404}",
, Wash your hands.Wash your hands frequently.Use soap and water.#Coronavirus #COVID19MORE on #Verdict --&gt; …,Mrrandy123RP,"Texas, USA","['', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
, #CoronaVirusCanada #CoronaOutbreak #CoronaVirus  #COVID19 #Ontario's 17 new cases of  include a baby boy: officials …,aliensky0,Worldwide,"['', ('CoronaVirus', 'ORG'), '', ('Ontario', 'ORG'), ('17', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
, MUST READ: Joe Biden Plagiarizes President ’s #Coronavirus Plan!,Magz18620939,,"[('Joe Biden', 'PERSON'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
," ""Panic buying"" is pure idiocy, selfish at the very least, and stock-piling toilet rolls is perhaps understandable if you'r…",jiddde,"Ilorin, Nigeria",[],"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.7506}",Nigeria
, What a lousy day for USA but we now have a real win- watch  get CDC to say “yes” to covering all #CoronaVi…,DebardiMichael,,"[('USA', 'GPE'), ('CDC', 'ORG')]","{'neg': 0.085, 'neu': 0.718, 'pos': 0.197, 'compound': 0.6059}",
,  what are your policies for community citizens and your staff in light of the #Covid_19 pan… ,xo_GossipGirl_x,,"[('Covid_19', 'MONEY')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
, Dr. Dena Grayson discusses the latest on #coronavirus.#COVID19 #CoronavirusPandemic ,billymocolorad2,Denver area,"[('Dena Grayson', 'PERSON'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
, How can the structure of a spike protein found on #coronavirus responsible for the #COVID-19 #outbreak help in its diagnos…,corzine_r,,"['', '']","{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6124}",
," After consulting with top gov health professionals,  has decided to take strong but necessary actions to prot…",rl_faehn,,[],"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3716}",
,The us government been stealing. It don’t make sense otherwise  #coronavirus,LexUpNext,I wanna go home. 🙁,[''],"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.5719}",Error
, My god Jeremy Hunt on Ch4 news looks terrified and clearly disagrees with government line #coronavirus,hocwatch,England,"[('Jeremy Hunt', 'PERSON'), '']","{'neg': 0.273, 'neu': 0.519, 'pos': 0.208, 'compound': -0.3612}",UK
, #BREAKING Universal Studios Hollywood theme park to close for two weeks to help contain #coronavirus,_pulido_nenaa,"Fontana, CA","['', ('BREAKING Universal', 'ORG'), ('Studios Hollywood', 'PERSON'), ('two weeks', 'DATE'), '']","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",USA
, I’m actually angry about Cheltenham. Such irresponsible selfishness for the sake of a day at the races. Assholes. #Cheltenham…,jamesmartyn60,Galway.,"[('Cheltenham', 'GPE'), ('a day', 'DATE')]","{'neg': 0.476, 'neu': 0.524, 'pos': 0.0, 'compound': -0.9136}",Ireland
, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,rcgillan,"New York, USA","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
, #CoronavirusExperts saying stock up two weeks worth of food and supplies. Half of people live paycheck to paycheck. Ho…,AD1968F,California / Florida,"['', ('CoronavirusExperts', 'ORG'), ('two weeks', 'DATE'), ('Half', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2263}",USA
," #Coronavirus warning from Italy ""The news media in the US has not captured the severity of what is happening here"" https…",glass_jonathan,Some-Where in Canada,"[('Italy', 'GPE'), ('US', 'GPE')]","{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.34}",Canada
, There is no objective evidence of panic in the #FamiliesFirst #CoronaVirus Response Ac or in the Biden and Sanders speeches w…,SFAuGrrl,"San Francisco, CA","['', ('FamiliesFirst', 'ORG'), ('Response Ac', 'PERSON'), ('Biden', 'GPE'), ('Sanders', 'NORP')]","{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.6705}",USA
," So, you’ve probably seen mine and other disabled people’s pissed off tweets about the response to the #CoronaVirus. Y…",worldhopper_os,,"['', ('CoronaVirus', 'ORG')]","{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.6369}",
," Before #coronavirus, I heard  predict China would not last as a unified state another ten ye… ",Frankapistan,"Nashville, TN","[('China', 'GPE'), ('ten', 'CARDINAL')]","{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.2924}",USA
," Source at HHS says ""Trump political appointees are directly interfering with CDC recommendations for the White House that c…",SharronNiklas,,"[('HHS', 'ORG'), ('Trump', 'ORG'), ('CDC', 'ORG'), ('the White House', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
, David Stern would be proud of Adam Silver &amp; his decision to suspend the rest of the  season. It was the correct ca…,WeBeHoopin,🙏🏾The House Kobe Built🙏🏾,"[('David Stern', 'PERSON'), ('Adam Silver &', 'ORG'), ('the  season', 'DATE')]","{'neg': 0.087, 'neu': 0.795, 'pos': 0.117, 'compound': 0.2023}",Error
, First was the old lady who lives on the corner that died. But 99 in a 100 would be fine and this way we'd get herd-immunity t…,gmcrotty,"Tullamore, Co Offaly","[('First', 'ORDINAL'), ('99', 'CARDINAL'), ('100', 'CARDINAL')]","{'neg': 0.122, 'neu': 0.816, 'pos': 0.061, 'compound': -0.4215}",Ireland
,  When it's actually GOP using #Coronavirus crisis to push their partisan political agenda.  GOP are putting…,Happyjam5,"Los Angeles, Ca","[('GOP', 'ORG'), '', ('GOP', 'ORG')]","{'neg': 0.215, 'neu': 0.785, 'pos': 0.0, 'compound': -0.6249}",USA
,"#Coronavirus in #Romania: 5 Infected, Hospital closed after retired-Cop ignored Safety Measures - Se… ",GregoryGLake,Global,"['', ('5', 'CARDINAL'), ('Hospital', 'ORG'), ('-Cop', 'ORG'), ('Safety Measures - Se', 'ORG')]","{'neg': 0.318, 'neu': 0.52, 'pos': 0.162, 'compound': -0.4019}",USA
,It's Sad That Now We Can't Enjoy Our Fav Sport In Peace. F*CK Whoever Manufactured This Sh*t!#CoronaVirus #CoronavirusPandemic #Covid_19,Cericali_KE,Kenya,"[('Sad That', 'WORK_OF_ART'), ('Whoever Manufactured', 'WORK_OF_ART'), '']","{'neg': 0.315, 'neu': 0.556, 'pos': 0.13, 'compound': -0.6124}",Kenya
, Senator Lindsey Graham has #PaidSickLeave. He can self-isolate for #coronavirus exposure without losing pay. Why can’t every…,jlpcoleman,,"[('Lindsey Graham', 'PERSON'), ('PaidSickLeave', 'MONEY'), '']","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.357}",
, Don't panic #Covid_19 #coronavirus ,KayBee33369775,,[''],"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4023}",
,"BREAKING: Ghana reports first two cases of #coronavirus, patients returned from Norway and Turkey.",2019nCoVwatcher,,"[('Ghana', 'GPE'), ('first', 'ORDINAL'), ('two', 'CARDINAL'), '', ('Norway', 'GPE'), ('Turkey', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
, TLDR explains. #coronavirus ,mamandurria1,"Sao Paulo, Brazil",[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Brazil
," 🚨BREAKING: #Ohio's top health official: ""At the very least 1% of our population is carrying this virus...We have 11.7 mi…",DEJSAM247,"Bloemfontein, South Africa","['', ('Ohio', 'GPE'), ('11.7', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2023}",South Africa
,Top tip: if you are hosting a dinner party and want to make it special on a budget I always find chucking in a few… ,ShaunKReturned,"Birmingham, England",[],"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7579}",UK
," This week we are offering video broadcasts and livestreams to share strength, comfort and unity with our community in…",JamesWithers3,"New York, New York","[('This week', 'DATE')]","{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.7845}",USA
, Trump is now doing to America what he did to me and 20 other women. #Coronavirus  #CoronavirusPandemic,NewNewsey,everywhere,"[('Trump', 'ORG'), ('America', 'GPE'), ('20', 'CARDINAL'), ('CoronavirusPandemic', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",mis4nthrope,,[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",
," Germany, France, Spain, Switzerland, UK and USA are all following the same upward trajectory paths of #coronavirus cases…",dorachandayon,"Toshima-ku,Tokyo,Japan","[('Germany', 'GPE'), ('France', 'GPE'), ('Spain', 'GPE'), ('Switzerland', 'GPE'), ('UK', 'GPE'), ('USA', 'GPE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Japan
, 🦠 A COVID19 timelime of confirmed cases outside of China until today. How is this crisis affecting your daily life?…,GiovanniMario12,Italia,"[('China', 'GPE'), ('today', 'DATE')]","{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.7073}",Italy
, China Has A Campaign To Blame #America For The #CoronaVirusThey Say It Started In The U.S.They Blame #America For Spr…,vito4224,USA,"[('China', 'GPE')]","{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.5859}",United States
," The last patient in Wuhan has been dispatched, all temporary hospitals have been closed, life is going back to normal! #Co…",Khattarperla,Highgarden,"[('Wuhan', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
,...Hope y’all stay safe 🙏🏻 and keep up to date on the CDC or World Health Organization not false info. #COVID19 #coronavirus,Brandon4Brody,"Pueblo, CO","[('CDC', 'ORG'), ('World Health Organization', 'ORG'), '']","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}",USA
, #BREAKING: All Catholic churches across Rome to completely close due to #coronavirus,booksNrulers,Corona & Jamaica ,"[('Catholic', 'NORP'), ('Rome', 'GPE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
, Stay safe.—#Covid19#CoronaVirus#Ghana ,Augustmhern_,"Koforidua, Ghana",[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Ghana
," #Coronavirus: The Santa Fe Indian School in New Mexico is closing today-classes set to resume April 29. ""The difficult decisio…",vynx,El Lay & Sactown ,"[('The Santa Fe Indian School', 'ORG'), ('New Mexico', 'GPE'), ('today', 'DATE'), ('April 29', 'DATE')]","{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.3612}",Error
, Bette with another KO! 👊🏻 💥 #trump #coronavirus # ,FRiGGiNREGAN,,"[('KO', 'ORG'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
, Foundations and #coronavirus: three considerations 💭1. Impact on operations2. Impact on causes that foundations suppo…,GrantFunders,"London, England","['', ('three', 'CARDINAL'), ('1', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
,Fear will kill #Coronavirus,RobertPPurcell,"norther New Jersey, USA",[''],"{'neg': 0.798, 'neu': 0.202, 'pos': 0.0, 'compound': -0.836}",USA
,"Give us this day our daily organic vitamins, and forgive us trusting in synthetic sources, as we forgive China for… ",dahldoc,,"[('this day', 'DATE'), ('China', 'GPE')]","{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.7096}",
, An expert team of nine members with 31 tons of medical supplies from China arrived at Italy on Thursday night (local time).…,Lucy87099762,,"[('nine', 'CARDINAL'), ('31 tons', 'QUANTITY'), ('China', 'GPE'), ('Italy', 'GPE'), ('Thursday', 'DATE'), ('night', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
," If you haven't watched  's speech today on how we should respond to #coronavirus, take a few minutes to do so. It i…",SurferSolar,Planet Earth,"[('today', 'DATE'), '', ('a few minutes', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
, I am very surprised the UK did not impose more restrictions today. It still thinks we are weeks from the peak of the epidem…,MariosTsoutsouk,"Nottingham, England","[('UK', 'GPE'), ('today', 'DATE'), ('weeks', 'DATE')]","{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.4733}",UK
, A perfect solution to non contact body temperature measurement for entry and exit screening against #coronavirus! Incorporati…,QCCC_Tom,"Atlanta, GA",[''],"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.7424}",USA
,NYC officials move to debunk online rumor about drastic transit shutdowns due to #coronavirus,News12WC,"Yonkers, NY","[('NYC', 'ORG'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
, BREAKING:  and House Dems have proposed a multi-billion dollar #coronavirus package so that workers can stay home…,kiwitrader24,Chicago Burbs,"[('House', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
," STATEMENT: On the May Rebellion &amp; #coronavirus. XR – as part of a wider movement – exists to protect life, both now &amp; f…",AcidSwims,he/him,"[('the May Rebellion &amp', 'ORG'), '', ('XR', 'GPE')]","{'neg': 0.065, 'neu': 0.823, 'pos': 0.113, 'compound': 0.2732}",Error
," Well, that explains Trump’s refusal of test kits from the World Health Organization, when 60 other countries were more tha…",ctsong,,"[('Trump’s', 'ORG'), ('the World Health Organization', 'ORG'), ('60', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.2732}",
, How about “because testing is nearly impossible to get”? How about that whether someone currently sick… ,lamarshall,"Durham, NC",[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
,"Ralph's is currently packed with people terrified of catching #coronavirus, all standing a foot from one another,… ",MartiniGiant,,"[('Ralph', 'PERSON'), '']","{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.6124}",
,  Oh look... it’s the pathologically-lying sociopath who WASTED PRECIOUS WEEKS telling us #coronavirus was a…,tulsabird,"Tulsa, OK",[],"{'neg': 0.184, 'neu': 0.608, 'pos': 0.207, 'compound': 0.128}",USA
," A woman in her 60s has died from #coronavirus in #LA County.  reports victim is not from the Southland, but…",SusanTaylorSD,San Diego ,"[('60s', 'DATE'), '', '', ('Southland', 'GPE')]","{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.6908}",USA
, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,lbpyyz,"Toronto, Ontario","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",Canada
, There is no objective evidence of panic in the #FamiliesFirst #CoronaVirus Response Ac or in the Biden and Sanders speeches w…,chaser1066,Sydney Australia,"['', ('FamiliesFirst', 'ORG'), ('Response Ac', 'PERSON'), ('Biden', 'GPE'), ('Sanders', 'NORP')]","{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.6705}",Australia
,"Super proud of our team for delivering very important information to our community, LIVE as it happens. Comprehen… ",JasonViauCBC,"Windsor, Ontario","[('Comprehen', 'PERSON')]","{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8439}",Canada
," Mr. Jones has been marketing &amp; selling toothpaste, dietary supplements, creams &amp; other products as treatments to preven…",star1965,NYC,"[('Jones', 'PERSON'), ('&amp', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
," BREAKING NEWS: Tune in for updates from Mayor Lightfoot, Governor Pritzker, Cook Co. President Preckwinkle and public…",jokerwoo1220,,"[('Lightfoot', 'PERSON'), ('Pritzker', 'PERSON'), ('Cook Co.', 'ORG'), ('Preckwinkle', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
,  We don't know if they are Ghanaian citizens who tested positive for the #coronavirus but they are said to have re…,Onemryeboah,"Sunyani,Ghana","[('Ghanaian', 'NORP'), '']","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.3182}",Ghana
, #Coronavirus crisis has affected an ice-locked Arctic research expedition. A team member tested positive for SARSCoV2. Th…,AndreasKakaris,Proud to be Freak,"['', ('Arctic', 'LOC'), ('SARSCoV2', 'ORG')]","{'neg': 0.256, 'neu': 0.583, 'pos': 0.161, 'compound': -0.2732}",Error
,When you have a gym membership and you can’t use it because you’re “not a student...”?! Like wtf?! … ,Falconyx85,"Elkins, WV",[],"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.5337}",USA
, Ghana and Gabon confirm first cases of #coronavirus,MiaFarrow,USA ,"[('Ghana', 'PERSON'), ('Gabon', 'PERSON'), ('first', 'ORDINAL'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",United States
,"Today’s Update:ITALY: lockdownCHINA: lockdownDENMARK: lockdownNORWAY: lockdownTURKEY: lockdown IRELAND, FRANC… ",PaulN84,Hastings,"[('Today', 'DATE'), ('IRELAND', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,impeach_him_pls,"South Jersey ,United States","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
," Dear Coronavirus, I’m telling you right now....you can have the NBA....take away Soccer, golf, tennis, volleyball, whateve…",tgailporter27,"Carbondale, IL","[('NBA', 'ORG'), ('Soccer', 'ORG')]","{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.3818}",USA
, #ICYMI ⁦⁩ took a medical director out to the streets of Indianapolis so that he could answer your #Coronav…,CBS4Indy,"Indianapolis, IN","[('Indianapolis', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
, New York City's mayor Bill de Blasio has declared a state of emergency to fight the spread of the #coronavirus outbreak - as h…,Kelly4Law,"#Leeds, Yorkshire via #Belfast","[(""New York City's"", 'GPE'), ('Bill de Blasio', 'PERSON'), '']","{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.6369}",UK
, Breaking: The Federal Reserve Bank of New York announced Thursday that it will spend $1.5 trillion to purchase financia…,laithreann,bác,"[('The Federal Reserve Bank', 'ORG'), ('New York', 'GPE'), ('Thursday', 'DATE'), ('$1.5 trillion', 'MONEY')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
,NY Attorney General threatens legal action if Alex Jones keeps telling viewers his toothpaste can cure #coronavirus ,RawStory,"Washington, DC","[('Alex Jones', 'PERSON'), '']","{'neg': 0.136, 'neu': 0.785, 'pos': 0.079, 'compound': -0.2732}",USA
, President  has taken bold action in response to the #Coronavirus. The steps the President announced in regar…,Lizbethjoy,,"[('Coronavirus', 'MONEY')]","{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.3818}",
," After consulting with top gov health professionals,  has decided to take strong but necessary actions to prot…",BikingBluesman,"Richland, MI",[],"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3716}",USA
," Jeremy Hunt is on . He looks terrified. He is choosing his words carefully, but says the countries that hav…",CourgetteQueen,UK,"[('Jeremy Hunt', 'PERSON')]","{'neg': 0.12, 'neu': 0.819, 'pos': 0.06, 'compound': -0.3071}",United Kingdom
," Sir David Attenborough tells Sky News he hopes the UK delivers concrete action on climate change and isn't ""blown off course""…",DrillSargentLou,,"[('David Attenborough', 'PERSON'), ('Sky News', 'ORG'), ('UK', 'GPE')]","{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.4215}",
," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",johnmerro1,,[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",
, Ayatollah Khamenei says that there is evidence that the #coronavirus may be a ‘biological attack’ and ordered IRGC to set up…,AlirezaNader,"Washington, DC","['', ('IRGC', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
," Take the time to watch this, get smart. I'll value the word of a renowned medical professional over reporters who know…",CrownMeEmpress,🤫🕵🏾‍♀️ It's a secret ,[],"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.6249}",Error
," If you haven't watched  's speech today on how we should respond to #coronavirus, take a few minutes to do so. It i…",LeahDaisyD,"Santa Rosa Beach, FL","[('today', 'DATE'), '', ('a few minutes', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
, Joe Biden is what a president should sound like and how a president should behave. #PresidentBiden #coronavirus …,LiviaFields5,,"[('Joe Biden', 'PERSON'), ('PresidentBiden', 'ORG')]","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",
, Joe Biden is what a president should sound like and how a president should behave. #PresidentBiden #coronavirus …,AdamRobertCohen,"West Palm Beach, FL","[('Joe Biden', 'PERSON'), ('PresidentBiden', 'ORG')]","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",USA
,"#Coronavirus""Go wash your hand..""👇",Kessunberber,Hors Sol :),[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
, #CDCTRAVELNOTICE: #Coronavirus in most of #Europe. CDC recommends avoiding all nonessential travel to most of Europe. More i…,Zachsara,,"['', '', ('Europe', 'LOC'), ('CDC', 'ORG'), ('Europe', 'LOC')]","{'neg': 0.118, 'neu': 0.788, 'pos': 0.094, 'compound': -0.128}",
, Gonna Be Announcing Each Player Getting #CoronaVirus Like it’s #NBAFreeAgency,Renegades_Hoop,,[],"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",
," Does anybody else remember that approximately 60 million Americans were infected with the swine flu in 2009? Over 18,00…",bremi,"Pennsylvania, USA","[('approximately 60 million', 'CARDINAL'), ('Americans', 'NORP'), ('2009', 'DATE')]","{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.7003}",USA
,"In 1918, the Spanish flu completely destroyed India's economy. What can we learn from it for 2020?1) Stop all lar… ",averagekind,,"[('1918', 'DATE'), ('Spanish', 'NORP'), ('India', 'GPE')]","{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.807}",
,how long before purposely coughing on someone becomes a criminal offense#Covid_19 #coronavirus,Mr_Ant87,"Canberra, ACT, Australia",[''],"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.5267}",Australia
